New ID,ID,Bulan,Tanggal,Harga Beras,Harga Daging Ayam,Harga Daging Sapi,Harga Telor Ayam,Harga Bawang merah,Harga Bawang Putih,Harga Cabai Merah,Harga Cabai Rawit,Harga Minyak Goreng,Harga Gula Pasir,Harga Rata Rata Sembako
118,,,2/28/2021,11800 ,34430 ,119610 ,25790 ,34060 ,29460 ,46660 ,76180 ,14540 ,14300 ,40683 
119,80,,01/03/2021,11800 ,34300 ,119550 ,25750 ,34250 ,29450 ,46800 ,76600 ,14550 ,14300 ,40735 
120,81,,02/03/2021,11800 ,34450 ,119500 ,25750 ,34400 ,29500 ,47000 ,77350 ,14550 ,14300 ,40860 
121,82,,03/03/2021,11800 ,34450 ,119600 ,25750 ,34650 ,29550 ,47350 ,78050 ,14550 ,14350 ,41010 
122,83,,04/03/2021,11800 ,34550 ,119550 ,25750 ,34750 ,29600 ,47200 ,78000 ,14550 ,14300 ,41005 
123,84,,05/03/2021,11800 ,34700 ,119600 ,25750 ,34800 ,29500 ,47550 ,78300 ,14550 ,14300 ,41085 
124,,,3/6/2021,11800 ,34740 ,119560 ,25740 ,35000 ,29530 ,47780 ,77760 ,14580 ,14300 ,41079 
125,,,3/7/2021,11800 ,34740 ,119560 ,25740 ,35000 ,29530 ,47780 ,77760 ,14580 ,14300 ,41079 
126,85,,08/03/2021,11800 ,34850 ,119600 ,25700 ,35200 ,29450 ,47950 ,77300 ,14600 ,14300 ,41075 
127,86,,09/03/2021,11800 ,34850 ,119500 ,25750 ,35250 ,29550 ,48400 ,77450 ,14600 ,14300 ,41145 
128,87,,10/03/2021,11800 ,34850 ,119450 ,25700 ,35200 ,29500 ,48300 ,77850 ,14600 ,14300 ,41155 
129,,,3/11/2021,11800,34950,119380,25700,35250,29450,48480,77480,14580,14280,41135 
130,88,,12/03/2021,11800 ,35050 ,119300 ,25700 ,35300 ,29400 ,48650 ,77100 ,14550 ,14250 ,41110 
131,,,3/13/2021,11800 ,34940 ,119310 ,25560 ,35310 ,29530 ,48960 ,77760 ,14580 ,14280 ,41203 
